"Cap waktu","Nama (Inisial)","Usia","Apa merk dan varian mie instan favorit anda?","Seberapa sering anda konsumsi mie instan?"
"2024/08/02 11:41:42 AM GMT+7","DPA","30 tahun - 45 tahun","Indomie-goreng-Original-Jumbo","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 11:42:28 AM GMT+7","PYJ","30 tahun - 45 tahun","Indomie-goreng-original-jumbo","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 11:44:10 AM GMT+7","EKG","< 15 tahun","Lemonilo-goreng-rasa mie goreng","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 12:50:43 PM GMT+7","Wit","15 tahun - 29 tahun","indomie-rebus-ayam bawang 🤤🤤","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 12:59:14 PM GMT+7","MAN","15 tahun - 29 tahun","indomie-goreng-original","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 1:00:36 PM GMT+7","Abp","15 tahun - 29 tahun","Mie fajar","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 1:03:40 PM GMT+7","Lilo","15 tahun - 29 tahun","Indomie - Goreng - Original","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 1:04:34 PM GMT+7","NHP","15 tahun - 29 tahun","Indomie - goreng - original","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 1:04:49 PM GMT+7","RPA","15 tahun - 29 tahun","Indomie goreng original","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 1:05:10 PM GMT+7","Leonardo","15 tahun - 29 tahun","Indomie - goreng - rendang - jumbo","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 1:05:47 PM GMT+7","MJY","15 tahun - 29 tahun","Indomie - goreng - Original","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 1:06:28 PM GMT+7","KC","15 tahun - 29 tahun","Indomie rasa rendang jumbo","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 1:06:37 PM GMT+7","AZHR","15 tahun - 29 tahun","Samyang-Goreng-Carbonara","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 1:06:57 PM GMT+7","NDF","15 tahun - 29 tahun","Mie Sedap - kuah - ayam bawang","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 1:06:58 PM GMT+7","mra","15 tahun - 29 tahun","indomie goreng ","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 1:07:31 PM GMT+7","Atika","15 tahun - 29 tahun","Indomie kuah soto banjar","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
